id	name	isLeaf	pId	deep	parentID
X_675EMvx46	5-alpha-reductase inhibitors	False	0	1	
nB0MkNg83z4	Abortifacients	False	0	1	
tp5SZ2G5lJ6	Adrenergic agonists	False	0	1	
Rj9VLZWV4SF	Allergenic extracts	False	0	1	
vuZJku02SG7	Alpha glucosidase inhibitors	False	0	1	
SAzfB4gwGLG	Amino acids and derivatives	False	0	1	
XdBdeznfHH-	Amphetamines	False	0	1	
6xCLiYZnHm9	Amylinomimetic agents	False	0	1	
NMI8mUwPkp9	Analeptics	False	0	1	
B_15SWwPkp9	Analgesics	False	0	1	
yHMnIQub3NA	Androgens	False	0	1	
2ScutnvIv67	Anesthetics	False	0	1	
CTM9Ea3aku7	Angiotensin converting enzyme inhibitors	False	0	1	
HOZ6cE-tRv-	Angiotensin II receptor antagonists	False	0	1	
tjeEdT47367	Anorexiants	False	0	1	
nppwBF4twIA	Antagonists, narcotic	False	0	1	
2FoZCfI2Iz9	Anti-infectives	False	0	1	
bJDvu7Ys3oE	Anti-inflammatory agents	False	0	1	
wYbjoJ8w7J6	Antiadrenergics	False	0	1	
SmI7rRFEZI-	Antialcoholics	False	0	1	
wy1kOhpzYQC	Antiandrogens	False	0	1	
wUG3RKeqRB_	Antianginals	False	0	1	
LuoC_d1ZFW6	Antiarrhythmics	False	0	1	
Ge0YPM5N867	Antibiotics	False	0	1	
EEBWn9fuAVB	Antibradykinines	False	0	1	
NNuXAzVcBz-	Anticholinergics	False	0	1	
80ZVP24wKK-	Anticoagulants	False	0	1	
NoXnUC6yxA8	Anticonvulsants	False	0	1	
HbC1KU_Pzu8	Antidepressants	False	0	1	
4IjXSJpOah-	Antidiabetic agents	False	0	1	
2KgSg5NB9K-	Antidiarrheals	False	0	1	
BOR06zrYbQC	Antidiuretics	False	0	1	
QYJFVr8b3NA	Antidotes	False	0	1	
K7Tm-wOC4wH	Antiemetics/antivertigo	False	0	1	
53R3OA9N867	Antifungals	False	0	1	
NUHK0RTEKHG	Antifungals, topical	False	0	1	
A8eWHWwnkb_	Antigout agents	False	0	1	
vIJ9F7K0XO-	Antihelmintics	False	0	1	
TwKmfXu6x-A	Antihemophilic agents	False	0	1	
Ij9x1-OcbO-	Antihistamines	False	0	1	
IS4zFJj_Ix-	Antihyperlipidemics	False	0	1	
Wiq8p-PTYVB	Antihypertensives	False	0	1	
LJkP0R465dB	Antihypoglycemics	False	0	1	
ttkKzcJ1RB_	Antimigraine	False	0	1	
bKOyGmkphBB	Antimycobacterials	False	0	1	
kfuUqxEGiRF	Antineoplastics	False	0	1	
PKOw00_5e8F	Antiosteoporotic agents	False	0	1	
SZBlg0cQ_WE	Antiparkinson agents	False	0	1	
yLRrQsNqfV-	Antiprotozoals	False	0	1	
qLvG-6migV-	Antipsoriatics	False	0	1	
gubJbdWrgV-	Antipsychotics	False	0	1	
o7hn1HE4RB_	Antipyretics	False	0	1	
G4zuNxmyji7	Antiretroviral drugs	False	0	1	
cgfddmIO867	Antiseptics	False	0	1	
Wc2WP6ugkp9	Antivenins	False	0	1	
Qm6KT6ugkp9	Antivirals	False	0	1	
eXDwdoxv_67	Anxiolytics	False	0	1	
3219uhcb3oH	Benzodiazepines	False	0	1	
QQZZXm2dXq9	Biguanides	False	0	1	
2cK5fqQnUzD	Bile acid sequestrants	False	0	1	
Yqzt4t0P4NA	Biologics	False	0	1	
rjDrlr11PhH	Blood clotting factors	False	0	1	
aCql35LcMs-	Bowel evacuants	False	0	1	
sAaB4mrTzg9	Bronchodilators	False	0	1	
w8KWItcRGNC	Calcimimetic agent	False	0	1	
WSRxnd_GVs_	Carbonic anhydrase inhibitors	False	0	1	
GaGsntItXvB	Cardiac glycosides	False	0	1	
s4bcAcNH5NA	Chelators	False	0	1	
L-QbfByv7dF	Cholinergics	False	0	1	
dng3UGaD9uD	Cholinesterase inhibitors	False	0	1	
6hYpXBjNUr9	Coagulants	False	0	1	
HkfMzty4jP9	Contraceptives	False	0	1	
ribSlUUHkP9	Contrast media	False	0	1	
Zw49jhClVYF	Corticosteroids	False	0	1	
jeTuywTr6C6	COX-2 specific inhibitors	False	0	1	
QdHmqhUT_0D	Cycloplegics	False	0	1	
UP20Bs2Jax9	Cystine depleting agents	False	0	1	
I4C5pq6Sdr9	Cytolytics	False	0	1	
UIu9NMDasd8	Cytoprotectives	False	0	1	
QxOoYkr8WsE	Decongestants, nasal	False	0	1	
8ta4LltUC_8	Decongestants, ophthalmic	False	0	1	
lLLyb69Y638	Dental preparations	False	0	1	
STFNKpTSw6B	Depigmenting agents	False	0	1	
YfeungF7eTE	Depilatory agents	False	0	1	
lRH-Pdu3TBD	Depressants, central nervous system	False	0	1	
QblGx3T2oQ4	Dermatologics	False	0	1	
R5jLeJyJP-6	Destructive agents	False	0	1	
vVUc0XiiUW9	Diagnostics, nonradioactive	False	0	1	
wm8smfB5tiA	Diagnostics, radiopharmaceuticals	False	0	1	
gMeZhb0q_LD	Dialysis solution	False	0	1	
7sMMqQontf_	Diluents	False	0	1	
E1jYwa0mN5_	Disease modifying antirheumatic drugs	False	0	1	
Djn20iwA6NA	Diuretics	False	0	1	
wbSgt8Z3CmA	Dopaminergics	False	0	1	
ILvKo___DwH	Dyes	False	0	1	
ca9ok434Sl5	Electrolyte replacements	False	0	1	
7PhsFTwojD5	Endothelin receptor antagonist	False	0	1	
B7KL5eDQGIF	Enzymes, gastrointestinal	False	0	1	
yG-buCUnUTH	Enzymes, metabolic	False	0	1	
otjaJqKPxi5	Enzymes, respiratory	False	0	1	
4t29drEZILF	Enzymes, topical	False	0	1	
RtVHDFd_tJH	Ergot alkaloids and derivatives	False	0	1	
uxss3Dpj6OA	Estrogen receptor modulators, selective	False	0	1	
BrB6b-HC7NA	Estrogens	False	0	1	
3wgBC4WROO7	Fibric acid derivatives	False	0	1	
ER-P6AdmYT_	Fibrinolytics	False	0	1	
Ab5b_ijYur-	Fusion inhibitors	False	0	1	
naBKp9wVpE9	Gabapentinoids	False	0	1	
PhGPcmJ9Z4-	Gallstone solubilizers	False	0	1	
PG6eI07kFtD	Gastrointestinals	False	0	1	
tuOxqllZ-h7	Gonadotropin-releasing hormone analogs	False	0	1	
_KwjtWfReR5	Gonadotropin-releasing hormone antagonists	False	0	1	
Q7BpF5KO3M4	Growth factor, epithelial cell	False	0	1	
W9GbBqjRhv9	Hematinics	False	0	1	
M9tEdZ8Wa67	Hematopoietic agents	False	0	1	
BytOnFoewxB	Hemostatics	False	0	1	
ZUxDEXZicbH	HMG CoA reductase inhibitors	False	0	1	
lNDqBEBQaC-	Hormones/hormone modifiers	False	0	1	
4iqmFi-xyv9	Hydantoins	False	0	1	
20D5vrYo6s9	Immunomodulators	False	0	1	
CkZR4rXDctG	Immunosuppressives	False	0	1	
X-HCGy3NhmG	Impotence agents	False	0	1	
nuPdea2qtS7	Incretin mimetic	False	0	1	
S9_gMbRf-NA	Inotropes	False	0	1	
utPilgLstf_	Insulins	False	0	1	
mJgAD4afw64	Interleukin receptor antagonists	False	0	1	
bbcf9knqXgB	Keratolytics	False	0	1	
MQJ99mB9AOA	Laxatives	False	0	1	
Psv4DzqhqT6	Leucotriene antagonists/inhibitors	False	0	1	
k2DvV-S-mA9	Lipase inhibitors	False	0	1	
4-2lDblyDZ6	Mast cell stabilizers	False	0	1	
7TURLFZV-_8	Meglitinides	False	0	1	
7Ts1hJNVqaB	Melatonin receptor agonist	False	0	1	
kjdk9UaF3z9	Metabolics	False	0	1	
T1e1QFZp7b8	Miotics	False	0	1	
L7PMADL9E09	Mucolytics	False	0	1	
6gRNbPthJjF	Musculoskeletal agents	False	0	1	
8gmVWnzfI09	Mydriatics	False	0	1	
WCpUHlAWaLG	Natriuretic peptide, human B-type	False	0	1	
LD1rMsDYg6B	Neuromuscular blockers, depolarizing	False	0	1	
KZq2f1bByZ6	Neuromuscular blockers, nondepolarizing	False	0	1	
0ElnckkTfFE	Neuroprotectives	False	0	1	
itPYnI0VrT9	Nicotinic acid derivatives	False	0	1	
QmdVLJMSO-4	NMDA receptor antagonists	False	0	1	
XLpAbpivax8	Nutritionals, enteral/parenteral	False	0	1	
elNlzrEdyRB	Ocular lubricants	False	0	1	
N8XR7zQV95H	Ophthalmics	False	0	1	
Psv0so__7T4	Otics	False	0	1	
zOIKDjQu_OA	Oxazolidinediones	False	0	1	
cL2oik66DOA	Oxytocics	False	0	1	
Y_AfDpo3yKE	Phenothiazines	False	0	1	
uo7pnDnbSqG	Phosphodiesterase inhibitors	False	0	1	
GLbVqEgKyR5	Photosensitizers	False	0	1	
znWEdbfmOTE	Plasma expanders	False	0	1	
