drugId	indicationId
Uw0dQMs56yH	rW-umxIqiID
Uw0dQMs56yH	5J0_ExZjvS5
Uw0dQMs56yH	hdVKjICWYc4
Uw0dQMs56yH	92mSmqtw17B
Uw0dQMs56yH	3VBpNl233jH
Uw0dQMs56yH	3uk_caRk1IH
Uw0dQMs56yH	kJzB68mff46
Uw0dQMs56yH	3zl_Yyr79EA
Uw0dQMs56yH	3QzeWVjYn3G
Uw0dQMs56yH	dmNfR0JYjK6
Uw0dQMs56yH	bXXuP5YRviA
Uw0dQMs56yH	Yw_Zfy54egF
Uw0dQMs56yH	LbK8CNgV5RB
Uw0dQMs56yH	BM4-NxGBK5_
Uw0dQMs56yH	NNc8WgqrLe-
Uw0dQMs56yH	xTFeMBbptd7
Uw0dQMs56yH	AOQ_Y8ZBM-G
Uw0dQMs56yH	Yxxz1_jN7EG
Uw0dQMs56yH	3Q3thq6r4UC
KYPfQ0fol85	t4VGq9G3et6
KYPfQ0fol85	ksSKTWt66z4
KYPfQ0fol85	XW-DO97mTT8
KYPfQ0fol85	LbK8CNgV5RB
KYPfQ0fol85	EDU9Da6oXC_
KYPfQ0fol85	jk-SpDO3pK5
KYPfQ0fol85	xTFeMBbptd7
KYPfQ0fol85	gFxhiGaK2o-
KYPfQ0fol85	06O3aqTRAoG
auh6oHx99h9	MaXIxaM6U3_
auh6oHx99h9	Q3G-DFGlmG4
auh6oHx99h9	kw5YaD-HlfB
auh6oHx99h9	1CCsHIi9tPH
auh6oHx99h9	jdDbeJPo4FD
-wy2ik-NerG	Z5ktq6QsvfF
-wy2ik-NerG	f-Nqi1n8506
-wy2ik-NerG	_PqPIuG-8G8
-wy2ik-NerG	NMPgGbfKj8A
-wy2ik-NerG	yO8efzxDzV7
KFP8ewBfRz7	jdBMmEs8G0A
KFP8ewBfRz7	QUrsi8z598G
KFP8ewBfRz7	MIjVuIXSo87
KFP8ewBfRz7	ldqz3DIYXmD
KFP8ewBfRz7	emIAhB97kKB
I7W7nQMakq9	PIcG_cHGM1B
I7W7nQMakq9	K6f195Y0WkG
I7W7nQMakq9	Vx0GXr6jaUE
I7W7nQMakq9	1v41LdEJmG-
I7W7nQMakq9	KQMYSNhzixE
I7W7nQMakq9	0MdTdfZrYG5
I7W7nQMakq9	49_uPRMdypA
6aUBBzFY2m6	SMIUi1h0PA8
6aUBBzFY2m6	cT0Ue7Ng_U_
6aUBBzFY2m6	NhLKPwJjLBB
6aUBBzFY2m6	HhMBMLfzfhE
6aUBBzFY2m6	H4Hv7kJsba6
6aUBBzFY2m6	3i39vFaWUZA
6aUBBzFY2m6	3VcRE6SxVSC
paXIV9rvoBF	cT0Ue7Ng_U_
paXIV9rvoBF	JVCZXloCjUD
paXIV9rvoBF	HhMBMLfzfhE
paXIV9rvoBF	3VcRE6SxVSC
paXIV9rvoBF	_kwQKyhG9RC
paXIV9rvoBF	-QoZ4klYdb_
paXIV9rvoBF	7Ir1kFfcowD
paXIV9rvoBF	QUrsi8z598G
paXIV9rvoBF	NfdJQxzFltH
paXIV9rvoBF	NhLKPwJjLBB
paXIV9rvoBF	7S1rk1mIb4F
paXIV9rvoBF	kABpsjQx3tG
paXIV9rvoBF	H4Hv7kJsba6
paXIV9rvoBF	mzJ-IOrxVPD
6XrwwcTbJz9	CI0M54PAPe_
6XrwwcTbJz9	bPOl8xRJWM_
6XrwwcTbJz9	adJXWH-hQM7
6XrwwcTbJz9	7Ir1kFfcowD
6XrwwcTbJz9	CERwOKqcysC
6XrwwcTbJz9	3ca1Ep7DjP6
6XrwwcTbJz9	b7LFStRd1j7
6XrwwcTbJz9	XQcuw5R2_S_
6XrwwcTbJz9	3VcRE6SxVSC
6XrwwcTbJz9	GMvKuS6ZtM_
PyM8y-yasdB	w2nEIoPoBDD
PyM8y-yasdB	RDr-FwfaFAE
PyM8y-yasdB	KNgYqq758c_
PyM8y-yasdB	wk__vxECrRG
PyM8y-yasdB	XUQ7PeVXI96
PyM8y-yasdB	kjQaDsqUKV5
PyM8y-yasdB	SWIzA8t6mS-
PyM8y-yasdB	IbM1tEFf4b5
PyM8y-yasdB	WwQ1o5l2wLC
ILgUPZF4kuD	wkZ0tZEJQnA
ILgUPZF4kuD	KxOD3q5qV-_
ILgUPZF4kuD	qWk440qNgVA
ILgUPZF4kuD	xWx0IrE8V27
ILgUPZF4kuD	_MPQxQwCpM_
ILgUPZF4kuD	P8IiXGbAhk9
ILgUPZF4kuD	MTHKv1gpe_F
ILgUPZF4kuD	Yoe1JzY1gyC
ILgUPZF4kuD	6hCCrbJP3rA
k8gYyPOFaxF	KEBV4jRgO_7
k8gYyPOFaxF	eOcFiPF8J2B
k8gYyPOFaxF	OddcCrK-KuB
k8gYyPOFaxF	wsPd7kodk5_
k8gYyPOFaxF	nfWnVtFr_w6
k8gYyPOFaxF	Ls_TxW8_Nz7
k8gYyPOFaxF	8cZWk1gvW45
k8gYyPOFaxF	3ca1Ep7DjP6
k8gYyPOFaxF	WzJ1-khu5pE
k8gYyPOFaxF	EacDSoim-T9
k8gYyPOFaxF	iixyAPmp5N4
k8gYyPOFaxF	_8SnIOXxr07
k8gYyPOFaxF	x8xZnmZJTa9
k8gYyPOFaxF	jLVhJTszHqE
k8gYyPOFaxF	9-HJYQlQhbF
k8gYyPOFaxF	cluToeXWvWC
k8gYyPOFaxF	R6JipMcRYVD
k8gYyPOFaxF	H_qs3I8kqsD
k8gYyPOFaxF	Rb7D2-Pob2_
k8gYyPOFaxF	1RsdhdYZZd4
k8gYyPOFaxF	3nUpVoedx_H
k8gYyPOFaxF	5D2xLizxnoH
k8gYyPOFaxF	4c2sC_G8W_4
k8gYyPOFaxF	3VcRE6SxVSC
k8gYyPOFaxF	GMvKuS6ZtM_
k8gYyPOFaxF	3un3681QL1A
k8gYyPOFaxF	FEJVg8WmAj9
k8gYyPOFaxF	UZ35AniFM8B
k8gYyPOFaxF	7Ir1kFfcowD
k8gYyPOFaxF	QUrsi8z598G
k8gYyPOFaxF	qS2V24vzcYF
k8gYyPOFaxF	uLaU1LCWIIB
k8gYyPOFaxF	S37sFpjNa2B
k8gYyPOFaxF	BccQjSUmjaD
k8gYyPOFaxF	kxBtAE6Fmp8
k8gYyPOFaxF	KeXMlY0q1JD
k8gYyPOFaxF	zk541u-4O09
eEfN_FBR40E	qYLT2rrpRH-
eEfN_FBR40E	yJwwNPKkybF
eEfN_FBR40E	70RPo_sRDdD
eEfN_FBR40E	IIoH7ATCb85
eEfN_FBR40E	rW8kYSjKQ35
eEfN_FBR40E	zhMt9sh5UTH
eEfN_FBR40E	CtFoMNkaGiB
eEfN_FBR40E	-gXK3RQQf94
eEfN_FBR40E	xcL3Y9w8hB7
eEfN_FBR40E	ElBbzUw3WjF
eEfN_FBR40E	VbgGeGPr7e8
eEfN_FBR40E	VEIgSnhlX2D
eEfN_FBR40E	G8bs0Wkeh7H
7f97D9OL2FH	L1VruLvq4H9
7f97D9OL2FH	ar6h5vGY3N-
7f97D9OL2FH	0JRspB1Xih9
7f97D9OL2FH	1GJ4D8KarcG
7f97D9OL2FH	T7oPSpTEqaE
7f97D9OL2FH	uWfGKB654-D
7f97D9OL2FH	4uaR_GmVpR7
7f97D9OL2FH	UChSAH4Swe7
7f97D9OL2FH	KbMhSG_z05-
7f97D9OL2FH	x-6IEe4iBC8
7f97D9OL2FH	G17cioUAZvH
7f97D9OL2FH	snCQbPRBOT9
7f97D9OL2FH	pUjzCiBr8P-
7f97D9OL2FH	1qIeEQ0FVK8
7f97D9OL2FH	akPJU0Po1o8
7f97D9OL2FH	KdLpSrrRi29
7f97D9OL2FH	etuMyT4FdYF
7f97D9OL2FH	CTyeaQmNQAE
7f97D9OL2FH	Y2EzPS1_RcB
7f97D9OL2FH	6KLBqETSRS9
7f97D9OL2FH	uEZLlu085gH
7f97D9OL2FH	zvHtIVb3CO9
7f97D9OL2FH	f-Nqi1n8506
7f97D9OL2FH	M9pVEGLD0PD
7f97D9OL2FH	mpos8qTkWZ9
7f97D9OL2FH	7kpP-0UWzf5
7f97D9OL2FH	cAfNq9h5cKC
7f97D9OL2FH	b7COkiKNy6H
7f97D9OL2FH	MdGTvvwcP_A
7f97D9OL2FH	GMvKuS6ZtM_
7f97D9OL2FH	1zl5e66bXi5
7f97D9OL2FH	7Ir1kFfcowD
7f97D9OL2FH	-aJSFrAAKe6
7f97D9OL2FH	k9KGjaqVr3F
7f97D9OL2FH	QUrsi8z598G
7f97D9OL2FH	Twt8_3RdUm4
7f97D9OL2FH	5PxBJ60rr3B
7f97D9OL2FH	PBcEPDBmb39
7f97D9OL2FH	d_dDTnbwL_F
7f97D9OL2FH	ZpALGRqFn-8
7f97D9OL2FH	jdBMmEs8G0A
7f97D9OL2FH	hjAzoWYN-tD
7f97D9OL2FH	zOTUdUbdn_7
7f97D9OL2FH	ZU1SxxeKVL7
7f97D9OL2FH	cak44hHO4TF
7f97D9OL2FH	L3B4rLNrDgA
7f97D9OL2FH	O1Jp2_zW1iB
7f97D9OL2FH	3K77kYhPDU9
7f97D9OL2FH	R8UcdH3ln_5
7f97D9OL2FH	FkspTR49mwA
7f97D9OL2FH	AWPc5aDPULE
7f97D9OL2FH	PVvYGX1GwvB
7f97D9OL2FH	QLSNGGX4RL7
7f97D9OL2FH	Do0igUgH0f-
7f97D9OL2FH	WyvsCme4cLB
7f97D9OL2FH	7SI26FM4Sp_
7f97D9OL2FH	3VcRE6SxVSC
7f97D9OL2FH	_zrjxQpkWF6
7f97D9OL2FH	0GyOXWJcqhE
7f97D9OL2FH	GZ4s33BbOGE
7f97D9OL2FH	6ued-F0W52A
7f97D9OL2FH	YTH-oIIWHOH
7f97D9OL2FH	oivDmB_YmC_
N6ZFxil-x65	FlM9YRLyq-C
N6ZFxil-x65	2GQ7uJji2g9
N6ZFxil-x65	0IRWahGhpz7
N6ZFxil-x65	6g0NwuciGN8
N6ZFxil-x65	1Zk8cbFx8FE
t5x-SMii5s8	eOcFiPF8J2B
t5x-SMii5s8	OYk2ueWx3tH
t5x-SMii5s8	1EbxurQnNoC
t5x-SMii5s8	Rb7D2-Pob2_
t5x-SMii5s8	3nUpVoedx_H
t5x-SMii5s8	9UjTLi5S_a9
t5x-SMii5s8	9YLbgm8aJ5G
t5x-SMii5s8	z9DstfcvhUF
t5x-SMii5s8	5CxS971FRqE
t5x-SMii5s8	tougcBggjwB
t5x-SMii5s8	nLOsmsBmvU9
t5x-SMii5s8	4tXLsQzSKV_
t5x-SMii5s8	x8xZnmZJTa9
t5x-SMii5s8	BbuD7JL9XR5
t5x-SMii5s8	9s_GTv3DPI5
hp9PXe2b5Z6	eOcFiPF8J2B
hp9PXe2b5Z6	z9DstfcvhUF
hp9PXe2b5Z6	OYk2ueWx3tH
hp9PXe2b5Z6	1EbxurQnNoC
hp9PXe2b5Z6	Rb7D2-Pob2_
hp9PXe2b5Z6	3nUpVoedx_H
hp9PXe2b5Z6	9UjTLi5S_a9
hp9PXe2b5Z6	9YLbgm8aJ5G
hp9PXe2b5Z6	x8xZnmZJTa9
hp9PXe2b5Z6	9s_GTv3DPI5
7lJ2_Dh1idD	eOcFiPF8J2B
7lJ2_Dh1idD	c2GLJA2R2w-
7lJ2_Dh1idD	KNgYqq758c_
7lJ2_Dh1idD	ckKiyKFtOlE
7lJ2_Dh1idD	R1h1btIQB5-
7lJ2_Dh1idD	RDr-FwfaFAE
7lJ2_Dh1idD	kjQaDsqUKV5
7lJ2_Dh1idD	nLOsmsBmvU9
7lJ2_Dh1idD	XVaDzws9rj7
7lJ2_Dh1idD	x8xZnmZJTa9
7lJ2_Dh1idD	9s_GTv3DPI5
7lJ2_Dh1idD	SHlE57w2a4D
7lJ2_Dh1idD	OYk2ueWx3tH
7lJ2_Dh1idD	ussPMUHQkM9
7lJ2_Dh1idD	5_1rTRwIxYA
7lJ2_Dh1idD	1EbxurQnNoC
7lJ2_Dh1idD	Rb7D2-Pob2_
7lJ2_Dh1idD	3nUpVoedx_H
7lJ2_Dh1idD	vL-aRYra3a9
7lJ2_Dh1idD	9UjTLi5S_a9
7lJ2_Dh1idD	cZAllXmy2tH
7lJ2_Dh1idD	9YLbgm8aJ5G
7lJ2_Dh1idD	z9DstfcvhUF
7lJ2_Dh1idD	gdRG_nLI1M9
7lJ2_Dh1idD	9xLp3gDfS8E
xK5XPCAkZ3B	c2GLJA2R2w-
xK5XPCAkZ3B	eDMcEq0D9J4
xK5XPCAkZ3B	3jnvi9kfnxF
xK5XPCAkZ3B	KNgYqq758c_
xK5XPCAkZ3B	qb1eOIP208A
xK5XPCAkZ3B	8ErBRYYvKL4
xK5XPCAkZ3B	IbM1tEFf4b5
xK5XPCAkZ3B	7a34qvyAZC_
xK5XPCAkZ3B	gu3f5SamTg-
xK5XPCAkZ3B	3VcRE6SxVSC
xK5XPCAkZ3B	WwQ1o5l2wLC
xK5XPCAkZ3B	GMvKuS6ZtM_
xK5XPCAkZ3B	RDr-FwfaFAE
xK5XPCAkZ3B	-gXK3RQQf94
xK5XPCAkZ3B	7Ir1kFfcowD
xK5XPCAkZ3B	XUQ7PeVXI96
xK5XPCAkZ3B	xcL3Y9w8hB7
xK5XPCAkZ3B	wk__vxECrRG
xK5XPCAkZ3B	kjQaDsqUKV5
xK5XPCAkZ3B	SWIzA8t6mS-
xK5XPCAkZ3B	rFXaSRNx5OE
xK5XPCAkZ3B	8ZfnOLGTi--
kCd6dhKYNhB	jdBMmEs8G0A
kCd6dhKYNhB	abLQ5ZFM8L7
kCd6dhKYNhB	eOcFiPF8J2B
kCd6dhKYNhB	KNgYqq758c_
kCd6dhKYNhB	Rb7D2-Pob2_
kCd6dhKYNhB	0FUzDe2PG99
kCd6dhKYNhB	RDr-FwfaFAE
kCd6dhKYNhB	Pe1Z_iqLxC-
kCd6dhKYNhB	GL3CQthfmGB
kCd6dhKYNhB	QUrsi8z598G
kCd6dhKYNhB	kjQaDsqUKV5
kCd6dhKYNhB	5Uh69mK28dG
kCd6dhKYNhB	KGkdMqWd3V6
kCd6dhKYNhB	x8xZnmZJTa9
kCd6dhKYNhB	kA9pOvHRmG4
byy0Pbk13y-	w2nEIoPoBDD
