drugId	targetId
Uw0dQMs56yH	l5GnzRoHcg4
Uw0dQMs56yH	HMIMz3l1YZ8
Uw0dQMs56yH	bvm0Tt1-jUG
Uw0dQMs56yH	OTE442Gh9AF
Uw0dQMs56yH	yYSrVknZJg6
Uw0dQMs56yH	KdoqNDCb48_
Uw0dQMs56yH	k2JVqjBTsI4
Uw0dQMs56yH	iznsaL-voQ_
Uw0dQMs56yH	oWxxabsjtFF
Uw0dQMs56yH	Vyrk96HYG26
Uw0dQMs56yH	b6v-QjYJyY8
Uw0dQMs56yH	LOaigUReTj9
Uw0dQMs56yH	wvUGEV_Vfd-
Uw0dQMs56yH	gY1jbohiTm7
Uw0dQMs56yH	zv_C0_pvfv-
KYPfQ0fol85	HMIMz3l1YZ8
KYPfQ0fol85	l5GnzRoHcg4
KYPfQ0fol85	OTE442Gh9AF
KYPfQ0fol85	A5JwybYLuZ6
KYPfQ0fol85	KdoqNDCb48_
KYPfQ0fol85	yju15KGwH5A
KYPfQ0fol85	k2JVqjBTsI4
KYPfQ0fol85	iznsaL-voQ_
KYPfQ0fol85	oWxxabsjtFF
KYPfQ0fol85	Vyrk96HYG26
KYPfQ0fol85	b6v-QjYJyY8
KYPfQ0fol85	LOaigUReTj9
KYPfQ0fol85	JHA0B9XRzuD
KYPfQ0fol85	ycHBmu-7VZ6
KYPfQ0fol85	WQHbmvD92b7
KYPfQ0fol85	ct5jiZdPxK5
KYPfQ0fol85	zxVK6PVZEgA
KYPfQ0fol85	IvV4vbc8qk4
KYPfQ0fol85	gY1jbohiTm7
KYPfQ0fol85	zv_C0_pvfv-
-gh3nPoSrbC	HMIMz3l1YZ8
-gh3nPoSrbC	OTE442Gh9AF
-gh3nPoSrbC	W0t5rHiVOTD
-gh3nPoSrbC	W73ecoJ97a4
-gh3nPoSrbC	oqgRt1WNV_E
-gh3nPoSrbC	OaP-68yrJE9
-gh3nPoSrbC	8F91cWCSDQ4
-gh3nPoSrbC	zv_C0_pvfv-
-gh3nPoSrbC	b6v-QjYJyY8
izv_8xI_QND	HMIMz3l1YZ8
izv_8xI_QND	OTE442Gh9AF
izv_8xI_QND	75PilyJBprB
izv_8xI_QND	mNYEHGGEuID
izv_8xI_QND	zv_C0_pvfv-
izv_8xI_QND	b6v-QjYJyY8
izv_8xI_QND	Tve_8buIVA7
nV4kTj29ImA	spR5Yp_B389
nV4kTj29ImA	lAzaYnKpIs7
nV4kTj29ImA	WMknI2V1z-_
nV4kTj29ImA	Pxh9OmkIPc5
nV4kTj29ImA	RwbCvJs_I-A
nV4kTj29ImA	3c4BcBzD18D
nV4kTj29ImA	zv_C0_pvfv-
nV4kTj29ImA	qzHdXXijeEH
nV4kTj29ImA	b6v-QjYJyY8
nV4kTj29ImA	LOaigUReTj9
GXJ5SAwHds4	spR5Yp_B389
GXJ5SAwHds4	lAzaYnKpIs7
GXJ5SAwHds4	WMknI2V1z-_
GXJ5SAwHds4	Pxh9OmkIPc5
GXJ5SAwHds4	RwbCvJs_I-A
GXJ5SAwHds4	3c4BcBzD18D
