id	name	isLeaf	pId	deep	parentID
zv_C0_pvfv-	By Ligand or Substrate	False	0	1	
b6v-QjYJyY8	By SuperFamily	False	0	1	
LOaigUReTj9	Enzymes	False	b6v-QjYJyY8	2	b6v-QjYJyY8
5qpCvzhq0Y9	Glycolipids	False	b6v-QjYJyY8	2	b6v-QjYJyY8
uVVj-bBy4YH	Glycoproteins	False	b6v-QjYJyY8	2	b6v-QjYJyY8
sOM7VDl-53-	Ion Channels	False	b6v-QjYJyY8	2	b6v-QjYJyY8
Ubw6GdrSgV5	Messenger ribonucleic acid (mRNA)	False	b6v-QjYJyY8	2	b6v-QjYJyY8
0EI5zSKofS8	Other proteins	False	b6v-QjYJyY8	2	b6v-QjYJyY8
HMIMz3l1YZ8	Receptors	False	b6v-QjYJyY8	2	b6v-QjYJyY8
3k3KmTVFEPF	Transporters	False	b6v-QjYJyY8	2	b6v-QjYJyY8
Npaxm6pGu4_	Inorganic Ion Transporters	False	3k3KmTVFEPF	3	3k3KmTVFEPF
biFJ5sjDCR9	Organic Anionic Transporters	False	3k3KmTVFEPF	3	3k3KmTVFEPF
sf2dDV5bDj8	Sodium and Chloride Dependent Transporters	False	3k3KmTVFEPF	3	3k3KmTVFEPF
4WiMAOtLMB7	Transporters for Amino Acids	False	3k3KmTVFEPF	3	3k3KmTVFEPF
3bh0-HbpTN-	GABA Transporters	True	4WiMAOtLMB7	4	4WiMAOtLMB7
f4Qmyh_R2U9	DAT, Dopamine Transporter	True	sf2dDV5bDj8	4	sf2dDV5bDj8
-MP1GreCS9G	NET, Norepinephrine Transporter	True	sf2dDV5bDj8	4	sf2dDV5bDj8
YLgUBi6N8v-	SERT, Serotonin Transporter	True	sf2dDV5bDj8	4	sf2dDV5bDj8
_lIRIE7C_J9	Sodium-dependent glucose cotransporters	False	sf2dDV5bDj8	4	sf2dDV5bDj8
oBDyf2gXlFE	VMAT2 Vesicular Monoamine Transporter 2	True	sf2dDV5bDj8	4	sf2dDV5bDj8
j8EVI1tnBk5	SGLT2, sodium-glucose cotransporter 1	True	_lIRIE7C_J9	5	_lIRIE7C_J9
irtsDExWX04	SGLT2, sodium-glucose cotransporter 2	True	_lIRIE7C_J9	5	_lIRIE7C_J9
SVL56WI8H3H	Organic Anion Transporters for Multiple Substrates	False	biFJ5sjDCR9	4	biFJ5sjDCR9
DuItVLUwsUA	Organic Anion Transporting Polypeptides	False	biFJ5sjDCR9	4	biFJ5sjDCR9
CQP8ziolNO5	Organic Anion Transporting Polypeptide 1A2	True	DuItVLUwsUA	5	DuItVLUwsUA
OFGI1Z9lDBE	OAT Organic Anion Transporters	False	SVL56WI8H3H	5	SVL56WI8H3H
HN3aLzlDVHA	OAT4, Organic Anion Transporter 4	True	OFGI1Z9lDBE	6	OFGI1Z9lDBE
vqMA2oAOUV_	URAT1, Uric Acid Transporter 1	True	OFGI1Z9lDBE	6	OFGI1Z9lDBE
EGLbIizdI66	Inorganic Ion Co-Transporters	False	Npaxm6pGu4_	4	Npaxm6pGu4_
pg6PMCgXHh7	Inorganic Ion Primary Active Transporters	False	Npaxm6pGu4_	4	Npaxm6pGu4_
rWp30QlV-U8	Sodium/hydrogen exchanger	False	Npaxm6pGu4_	4	Npaxm6pGu4_
n1kPT-l_r06	Sodium–hydrogen exchanger 3 (NHE3)	True	rWp30QlV-U8	5	rWp30QlV-U8
TpFkyYYFoeG	(H+ K+)-ATPase	True	pg6PMCgXHh7	5	pg6PMCgXHh7
30oBJUArf-_	Sodium-Potassium ATPase	True	pg6PMCgXHh7	5	pg6PMCgXHh7
dvQpj72W0A-	CFTR Cystic Fibrosis Transmembrane Conductance Regulator	True	EGLbIizdI66	5	EGLbIizdI66
W4QSQR5blF_	NKCC Sodium-Potassium-Chloride co-Transporters	True	EGLbIizdI66	5	EGLbIizdI66
OTE442Gh9AF	7-Transmembrane Receptors	False	HMIMz3l1YZ8	3	HMIMz3l1YZ8
dcgws5Sc1f4	Catalytic Receptors	False	HMIMz3l1YZ8	3	HMIMz3l1YZ8
fhvURhhfRh-	Immunoglobulin	False	HMIMz3l1YZ8	3	HMIMz3l1YZ8
78YglKTHU2D	Ligand-Gated Ion Channels	False	HMIMz3l1YZ8	3	HMIMz3l1YZ8
tq8SEgPcit-	Nuclear Receptors	False	HMIMz3l1YZ8	3	HMIMz3l1YZ8
nSJ-_p3rdQ9	Farnesoid X receptor	True	tq8SEgPcit-	4	tq8SEgPcit-
nn8oxfhcg-H	Mineralocorticoid receptor	True	tq8SEgPcit-	4	tq8SEgPcit-
y8XX0Ed7IC5	PPAR Peroxisome Proliferator-Activated Receptors	False	tq8SEgPcit-	4	tq8SEgPcit-
C2MnvS2GlV8	Progesterone Receptors	True	tq8SEgPcit-	4	tq8SEgPcit-
_nn1cJSF5F9	Retinoic Acid Receptors	True	tq8SEgPcit-	4	tq8SEgPcit-
ZR74nRqsxHG	Steroid hormone receptors	False	tq8SEgPcit-	4	tq8SEgPcit-
4_tbJKJ4orF	Thyroid Hormone Receptors	True	tq8SEgPcit-	4	tq8SEgPcit-
_1bYAjBFIoD	Androgen Receptors	True	ZR74nRqsxHG	5	ZR74nRqsxHG
F-FCPbCn7X7	ER Estrogen receptors	True	ZR74nRqsxHG	5	ZR74nRqsxHG
15VXvwQtzjF	Glucocorticoid Receptors	True	ZR74nRqsxHG	5	ZR74nRqsxHG
9Ewk835jBA4	PPAR-Alpha Peroxisome Proliferator-Activated Receptor	True	y8XX0Ed7IC5	5	y8XX0Ed7IC5
nHOSSJmZDxD	PPAR-Gamma Peroxisome Proliferator-Activated Receptors	True	y8XX0Ed7IC5	5	y8XX0Ed7IC5
ExMWbpeCTsB	GABA Receptors	False	78YglKTHU2D	4	78YglKTHU2D
WPZ8wRrmo94	Glycine Receptors	True	78YglKTHU2D	4	78YglKTHU2D
8RJl5Uu1D-C	Imidazoline Receptors	False	78YglKTHU2D	4	78YglKTHU2D
bQ5x0-DbzG4	Ionotropic Glutamate Receptors	False	78YglKTHU2D	4	78YglKTHU2D
hdNh-24EMOH	Nicotinic Acetylcholine Receptors	True	78YglKTHU2D	4	78YglKTHU2D
DQg2PFFINH9	Vanilloid Receptors	False	78YglKTHU2D	4	78YglKTHU2D
iU3YylLgdZG	TRPV1 (VR-1) Vanilloid Receptor	True	DQg2PFFINH9	5	DQg2PFFINH9
4yiWBUvsor5	AMPA Glutamate Receptors	True	bQ5x0-DbzG4	5	bQ5x0-DbzG4
2rYUJgsd7S_	NMDA Glutamate Receptor	True	bQ5x0-DbzG4	5	bQ5x0-DbzG4
RSfQpW0vpw6	I-1 Imidazoline Receptor	True	8RJl5Uu1D-C	5	8RJl5Uu1D-C
vFyuJ1iWQNF	GABA-A Receptors	False	ExMWbpeCTsB	5	ExMWbpeCTsB
UmdGTzEvoS-	GABA-A Receptor Alpha 1	True	vFyuJ1iWQNF	6	vFyuJ1iWQNF
rscJNI6RjlF	Programmed death receptor-1 (PD-1)	True	fhvURhhfRh-	4	fhvURhhfRh-
ee_QmAatLC5	Accessory Adhesion Activator	False	dcgws5Sc1f4	4	dcgws5Sc1f4
HYQM5_uV10C	Colony stimulating factor receptors	False	dcgws5Sc1f4	4	dcgws5Sc1f4
pe8r55cqCfB	ErbB Family	False	dcgws5Sc1f4	4	dcgws5Sc1f4
gxo0k68dv4-	Immune Response Targets	False	dcgws5Sc1f4	4	dcgws5Sc1f4
E6g2UU3gtz6	Insulin Receptor	True	dcgws5Sc1f4	4	dcgws5Sc1f4
vbJ6gFajo0H	Insulin-like Growth Factor (IGF) Receptor	True	dcgws5Sc1f4	4	dcgws5Sc1f4
w3D-G5X-jH_	Integrin	False	dcgws5Sc1f4	4	dcgws5Sc1f4
LqZtcw4r1Q7	Keratinocyte Growth Factor Receptor (KGFR)	True	dcgws5Sc1f4	4	dcgws5Sc1f4
i3u-6vvWN3E	Platelet-Derived Growth Factor Receptors	False	dcgws5Sc1f4	4	dcgws5Sc1f4
CbYJdTnXSo_	Vascular Endothelial Growth Factor Receptors (VEGFR)	False	dcgws5Sc1f4	4	dcgws5Sc1f4
e47WD6WA6W_	Vascular Endothelial Growth Factor Receptor 2 (VEGFR2)	True	CbYJdTnXSo_	5	CbYJdTnXSo_
cC4seTnfLF5	Platelet-Derived Growth Factor Receptor alpha	True	i3u-6vvWN3E	5	i3u-6vvWN3E
jfpdW-RMiM8	Integrin Receptor	True	w3D-G5X-jH_	5	w3D-G5X-jH_
ZTTqeUOCRPF	Platelet Receptor Glycoprotein (GP)	True	w3D-G5X-jH_	5	w3D-G5X-jH_
crLkfF965u-	Cytokine Receptors	False	gxo0k68dv4-	5	gxo0k68dv4-
dSX_tv_pw99	Interferon Receptor	True	gxo0k68dv4-	5	gxo0k68dv4-
8YE8LBLl4ZA	Interleukin Receptors	False	gxo0k68dv4-	5	gxo0k68dv4-
pGtsff6QqD_	Interleukin-1 (IL-1) Receptor	True	8YE8LBLl4ZA	6	8YE8LBLl4ZA
Hfew5nip8f7	Interleukin-17 (IL-17) Receptor	True	8YE8LBLl4ZA	6	8YE8LBLl4ZA
nWPUXJ5c0DC	Interleukin-2 (IL-2) Receptor	True	8YE8LBLl4ZA	6	8YE8LBLl4ZA
hJ5DP6I1Rr-	Interleukin-4 (IL-4) Alpha Receptor	True	8YE8LBLl4ZA	6	8YE8LBLl4ZA
vHBGFscbFgB	Interleukin-5 alpha receptor	True	8YE8LBLl4ZA	6	8YE8LBLl4ZA
fWYy1wzMdE-	Interleukin-6 (IL-6) Receptor	True	8YE8LBLl4ZA	6	8YE8LBLl4ZA
0uQT04T7sV7	Erythropoietin receptor	True	crLkfF965u-	6	crLkfF965u-
TbUoZmUfU45	Leptin receptor	True	crLkfF965u-	6	crLkfF965u-
UD17mvrXO_A	Receptor Activator for Nuclear Factor k B Ligand	True	crLkfF965u-	6	crLkfF965u-
g2t02vRN8M9	Thrombopoietin Receptor	True	crLkfF965u-	6	crLkfF965u-
FIsm4UuLKS8	Epidermal Growth Factor (EGFR) Receptors	False	pe8r55cqCfB	5	pe8r55cqCfB
vCv5dDPG-g6	EGFR Receptor 1 Protein (HER1)	True	FIsm4UuLKS8	6	FIsm4UuLKS8
tWHUMfevSrF	EGFR Receptor 2 Protein (HER2)	True	FIsm4UuLKS8	6	FIsm4UuLKS8
p-3IpW9B8_7	EGFR Receptor 4 Protein (HER4)	True	FIsm4UuLKS8	6	FIsm4UuLKS8
GBalyDtYcgD	ErbB1	True	FIsm4UuLKS8	6	FIsm4UuLKS8
dLCS4ozQJF6	Colony stimulating factor 1 receptor (CSF1R)	True	HYQM5_uV10C	5	HYQM5_uV10C
pGS2B4S6BZ4	CD11a Antigen	True	ee_QmAatLC5	5	ee_QmAatLC5
6UF4vCJSGi4	CD123 Antigen	True	ee_QmAatLC5	5	ee_QmAatLC5
cEScxc0mKXG	CD19 Antigen	True	ee_QmAatLC5	5	ee_QmAatLC5
64NCtsNzPS_	CD2 Antigen	True	ee_QmAatLC5	5	ee_QmAatLC5
S5StS36MNwH	CD20 Antigen	True	ee_QmAatLC5	5	ee_QmAatLC5
7mFGKAvSM8E	CD3 Antigen	True	ee_QmAatLC5	5	ee_QmAatLC5
UWwsQ7QtlA9	CD33 Antigen	True	ee_QmAatLC5	5	ee_QmAatLC5
ROlQB7TRv7_	CD52 Antigen	True	ee_QmAatLC5	5	ee_QmAatLC5
9ZpvJ1CdA89	CD79b antigene	True	ee_QmAatLC5	5	ee_QmAatLC5
sKpU2mQLDmB	5-Hydroxytryptamine Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
KdoqNDCb48_	Adenosine Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
-VW30v7sLkC	Adrenoceptors	False	OTE442Gh9AF	4	OTE442Gh9AF
_ItHhyRTYq_	Angiotensin Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
BOVtyIj-1R4	Bradykinin Receptors	True	OTE442Gh9AF	4	OTE442Gh9AF
3t2E5zXktL6	Calcitonin-Type Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
1p4AzkA43CD	Calcium-sensing receptor	True	OTE442Gh9AF	4	OTE442Gh9AF
0TdV0mLxGK5	Cannabinoid Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
DZSWgauGbQB	Chemokine Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
DuK17CY4GZE	Corticotropin-Releasing Factor Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
hd2tsLIRCPD	Dopamine Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
8F91cWCSDQ4	Endothelin Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
DYidOPJKpK8	GABA-B Receptor	True	OTE442Gh9AF	4	OTE442Gh9AF
NvHgRxRgMCH	Glucagon Receptor	True	OTE442Gh9AF	4	OTE442Gh9AF
XC9aT-lMkE_	Glucagon-like Peptide (GLP) Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
pPxAXnpITR9	Glycoprotein Hormone Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
I37yUyu-BxD	Gonadotropin Releasing Hormone (GnRH) Receptors	True	OTE442Gh9AF	4	OTE442Gh9AF
ghaPxmlzHw7	Growth Hormone (GH) Receptor	True	OTE442Gh9AF	4	OTE442Gh9AF
e5Izgb52nn4	Growth Hormone Secretagogue Receptor	True	OTE442Gh9AF	4	OTE442Gh9AF
I8erBAXcnmB	Histamine Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
75PilyJBprB	IP Prostacyclin Receptor	True	OTE442Gh9AF	4	OTE442Gh9AF
pJsgt3W60g8	Leukotriene Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
P5KgtgnFjR-	Melanocortin receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
PemrFPsZyNH	Melatonin Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
OySS1TZQmaH	Muscarinic Acetylcholine Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
VErrzLZz1pF	Opioid and Opioid-like Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
10G72DJtGZ-	Orexin Receptors	True	OTE442Gh9AF	4	OTE442Gh9AF
OImCl28A0JF	P2 Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
57KYCt0ni1G	Parathyroid Hormone Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
hMjFn1lDRPF	Prostanoid Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
3UoMx3SPFT8	Protease-activated receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
uUknbMsGhdF	Smoothened Protein	True	OTE442Gh9AF	4	OTE442Gh9AF
MWGnQ2AuYRB	Somatostatin Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
ymor8d-W80B	Sphingosine 1-Phosphate Receptor	True	OTE442Gh9AF	4	OTE442Gh9AF
iRJKuGXIGK5	Tachykinin Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
Z6HFeis3IaA	Thyrotropin-Releasing Hormone Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
nmFWo_3kcNH	Vasopressin-Oxytocin Receptors	False	OTE442Gh9AF	4	OTE442Gh9AF
2gVIQqnGw8-	V-1 Vasopressin Receptors	False	nmFWo_3kcNH	5	nmFWo_3kcNH
OfrJLMcUTaE	V-2 Vasopressin Receptor	True	nmFWo_3kcNH	5	nmFWo_3kcNH
hv0CEFhuck_	OT Oxytocin Receptor	True	2gVIQqnGw8-	6	2gVIQqnGw8-
nnvQb9PaKSC	V-1A Vasopressin Receptor	True	2gVIQqnGw8-	6	2gVIQqnGw8-
moxPO9KdrIA	V-1B Vasopressin Receptor	True	2gVIQqnGw8-	6	2gVIQqnGw8-
labwGkpfgNF	TRH-1 Thyrotropin-Releasing Hormone Receptor	True	Z6HFeis3IaA	5	Z6HFeis3IaA
mYazSXuXC49	TRH-2 Thyrotropin-Releasing Hormone Receptor	True	Z6HFeis3IaA	5	Z6HFeis3IaA
YdPcawh_Zr8	NK-1 Tachykinin Receptor	True	iRJKuGXIGK5	5	iRJKuGXIGK5
ZpiLaPBqj_A	SST-1 Somatostatin Receptor	True	MWGnQ2AuYRB	5	MWGnQ2AuYRB
1MRRtk0xZCC	SST-2 Somatostatin Receptors	True	MWGnQ2AuYRB	5	MWGnQ2AuYRB
bp_Z7MHBhLG	SST-3 Somatostatin Receptor	True	MWGnQ2AuYRB	5	MWGnQ2AuYRB
cJOBsLqsfxA	SST-4 Somatostatin Receptor	True	MWGnQ2AuYRB	5	MWGnQ2AuYRB
dpcocKNYeX7	SST-5 Somatostatin Receptor	True	MWGnQ2AuYRB	5	MWGnQ2AuYRB
o3L_puU7bz-	Protease-activated receptor 1	True	3UoMx3SPFT8	5	3UoMx3SPFT8
ZE7xADhwla-	EP Prostanoid Receptors	False	hMjFn1lDRPF	5	hMjFn1lDRPF
f6GUXF1K3BH	FP Prostanoid Receptor	True	hMjFn1lDRPF	5	hMjFn1lDRPF
cRp9x-RNlv4	IP Prostanoid Receptor	True	hMjFn1lDRPF	5	hMjFn1lDRPF
cqvNGvG8RI9	EP-1 Prostanoid Receptor	True	ZE7xADhwla-	6	ZE7xADhwla-
d27hEIMMLf7	EP-2 Prostanoid Receptor	True	ZE7xADhwla-	6	ZE7xADhwla-
eCI2ChRcE25	EP-3 Prostanoid Receptor	True	ZE7xADhwla-	6	ZE7xADhwla-
fOUKB6Ws9M4	EP-4 Prostanoid Receptor	True	ZE7xADhwla-	6	ZE7xADhwla-
foLP9Z7o_qF	PTH-1 Parathyroid Hormone Receptor	True	57KYCt0ni1G	5	57KYCt0ni1G
5ES9VJVXN0-	P2Y Receptors	False	OImCl28A0JF	5	OImCl28A0JF
E45wMSLvxbH	P2Y12 Receptor	True	5ES9VJVXN0-	6	5ES9VJVXN0-
