drugId	targetId
BZDk88KI6U5	l5GnzRoHcg4
BZDk88KI6U5	HMIMz3l1YZ8
BZDk88KI6U5	bvm0Tt1-jUG
BZDk88KI6U5	OTE442Gh9AF
BZDk88KI6U5	yYSrVknZJg6
BZDk88KI6U5	KdoqNDCb48_
BZDk88KI6U5	k2JVqjBTsI4
BZDk88KI6U5	iznsaL-voQ_
BZDk88KI6U5	oWxxabsjtFF
BZDk88KI6U5	Vyrk96HYG26
BZDk88KI6U5	b6v-QjYJyY8
BZDk88KI6U5	LOaigUReTj9
BZDk88KI6U5	wvUGEV_Vfd-
BZDk88KI6U5	gY1jbohiTm7
BZDk88KI6U5	zv_C0_pvfv-
Uw0dQMs56yH	l5GnzRoHcg4
Uw0dQMs56yH	HMIMz3l1YZ8
Uw0dQMs56yH	bvm0Tt1-jUG
Uw0dQMs56yH	OTE442Gh9AF
Uw0dQMs56yH	yYSrVknZJg6
Uw0dQMs56yH	KdoqNDCb48_
Uw0dQMs56yH	k2JVqjBTsI4
Uw0dQMs56yH	iznsaL-voQ_
Uw0dQMs56yH	oWxxabsjtFF
Uw0dQMs56yH	Vyrk96HYG26
Uw0dQMs56yH	b6v-QjYJyY8
Uw0dQMs56yH	LOaigUReTj9
Uw0dQMs56yH	wvUGEV_Vfd-
Uw0dQMs56yH	gY1jbohiTm7
Uw0dQMs56yH	zv_C0_pvfv-
uvFYPjYHg4-	HMIMz3l1YZ8
uvFYPjYHg4-	l5GnzRoHcg4
uvFYPjYHg4-	OTE442Gh9AF
uvFYPjYHg4-	KdoqNDCb48_
uvFYPjYHg4-	k2JVqjBTsI4
uvFYPjYHg4-	iznsaL-voQ_
uvFYPjYHg4-	oWxxabsjtFF
uvFYPjYHg4-	Vyrk96HYG26
uvFYPjYHg4-	gY1jbohiTm7
uvFYPjYHg4-	zv_C0_pvfv-
uvFYPjYHg4-	b6v-QjYJyY8
uvFYPjYHg4-	LOaigUReTj9
6NJqxX0uAk8	l5GnzRoHcg4
6NJqxX0uAk8	HMIMz3l1YZ8
6NJqxX0uAk8	bvm0Tt1-jUG
6NJqxX0uAk8	OTE442Gh9AF
6NJqxX0uAk8	yYSrVknZJg6
6NJqxX0uAk8	KdoqNDCb48_
6NJqxX0uAk8	k2JVqjBTsI4
6NJqxX0uAk8	iznsaL-voQ_
6NJqxX0uAk8	oWxxabsjtFF
6NJqxX0uAk8	Vyrk96HYG26
6NJqxX0uAk8	b6v-QjYJyY8
6NJqxX0uAk8	LOaigUReTj9
6NJqxX0uAk8	wvUGEV_Vfd-
6NJqxX0uAk8	gY1jbohiTm7
6NJqxX0uAk8	zv_C0_pvfv-
I93ElUO29cB	HMIMz3l1YZ8
I93ElUO29cB	l5GnzRoHcg4
I93ElUO29cB	OTE442Gh9AF
I93ElUO29cB	A5JwybYLuZ6
I93ElUO29cB	KdoqNDCb48_
I93ElUO29cB	k2JVqjBTsI4
I93ElUO29cB	iznsaL-voQ_
I93ElUO29cB	oWxxabsjtFF
I93ElUO29cB	Vyrk96HYG26
I93ElUO29cB	b6v-QjYJyY8
I93ElUO29cB	LOaigUReTj9
I93ElUO29cB	JHA0B9XRzuD
I93ElUO29cB	WQHbmvD92b7
I93ElUO29cB	zxVK6PVZEgA
I93ElUO29cB	gY1jbohiTm7
I93ElUO29cB	zv_C0_pvfv-
9N2IyCqkJ6G	HMIMz3l1YZ8
9N2IyCqkJ6G	l5GnzRoHcg4
9N2IyCqkJ6G	OTE442Gh9AF
9N2IyCqkJ6G	KdoqNDCb48_
9N2IyCqkJ6G	k2JVqjBTsI4
9N2IyCqkJ6G	iznsaL-voQ_
9N2IyCqkJ6G	oWxxabsjtFF
9N2IyCqkJ6G	Vyrk96HYG26
9N2IyCqkJ6G	gY1jbohiTm7
9N2IyCqkJ6G	zv_C0_pvfv-
9N2IyCqkJ6G	b6v-QjYJyY8
9N2IyCqkJ6G	LOaigUReTj9
KYPfQ0fol85	HMIMz3l1YZ8
KYPfQ0fol85	l5GnzRoHcg4
KYPfQ0fol85	OTE442Gh9AF
KYPfQ0fol85	A5JwybYLuZ6
KYPfQ0fol85	KdoqNDCb48_
KYPfQ0fol85	yju15KGwH5A
KYPfQ0fol85	k2JVqjBTsI4
